2.0000e+05;2.4771e+00;-8.5476e+01
5.0000e+05;1.8801e+00;-3.4382e+01
1.0000e+06;1.6247e+00;-1.6966e+01
2.5000e+01;6.7827e+03;-6.5312e+05
5.0000e+01;9.2310e+03;-3.2740e+05
6.0000e+01;2.4516e+03;-2.7274e+05
1.0000e+02;1.4028e+03;-1.6403e+05
1.2000e+02;1.1061e+03;-1.3629e+05
2.0000e+02;6.0734e+02;-8.1876e+04
5.0000e+02;2.4235e+02;-3.3060e+04
1.0000e+03;1.1146e+02;-1.6588e+04
2.0000e+03;5.8651e+01;-8.2972e+03
5.0000e+03;2.4085e+01;-3.3252e+03
1.0000e+04;1.3777e+01;-1.6795e+03
2.0000e+04;4.1101e+00;-8.4103e+02
5.0000e+04;3.4777e+00;-3.3771e+02
1.0000e+05;1.7537e+00;-1.7030e+02
