2.5000e+01;1.9970e+04;-1.7427e+01
5.0000e+01;1.9964e+04;3.4499e+02
6.0000e+01;1.9970e+04;-3.8340e+01
1.0000e+02;1.9970e+04;-6.2738e+01
1.2000e+02;1.9970e+04;-7.3196e+01
2.0000e+02;1.9968e+04;-1.2198e+02
5.0000e+02;1.9959e+04;-2.9960e+02
1.0000e+03;1.9929e+04;-5.9147e+02
2.0000e+03;1.9817e+04;-1.1565e+03
5.0000e+03;1.9139e+04;-2.6660e+03
1.0000e+04;1.7382e+04;-4.2534e+03
2.0000e+04;1.4216e+04;-4.7926e+03
5.0000e+04;1.1009e+04;-3.0076e+03
1.0000e+05;1.0157e+04;-1.6615e+03
2.0000e+05;1.0040e+04;-9.1639e+02
5.0000e+05;9.8913e+03;-4.4570e+02
1.0000e+06;9.6379e+03;-3.0962e+02
